Temperature,Pressure,VibrationX,VibrationY,VibrationZ,Frequency,Target,flag_high_values,Temperature_RollMean_10,Temperature_RollStd_10,Temperature_RollMean_30,Temperature_RollStd_30,Pressure_RollMean_3,Pressure_RollStd_3,Pressure_RollMean_7,Pressure_RollStd_7,Frequency_RollMean_5,Frequency_RollStd_5,Pressure_Slope_3,Pressure_Slope_5,Temperature_Slope_10,Temperature_Lag1,Temperature_Lag2,Temperature_Lag3,Pressure_Lag1,Pressure_Lag2,Pressure_Lag3,Pressure_Lag4,Pressure_Lag5,VibrationX_Lag1,VibrationX_Lag2,VibrationX_Lag3,VibrationX_Lag4,VibrationX_Lag5,VibrationX_Lag6,VibrationX_Lag7,VibrationX_Lag8,VibrationY_Lag1,VibrationY_Lag2,VibrationY_Lag3,VibrationY_Lag4,VibrationY_Lag5,VibrationY_Lag6,VibrationY_Lag7,VibrationY_Lag8,VibrationZ_Lag1,VibrationZ_Lag2,VibrationZ_Lag3,VibrationZ_Lag4,VibrationZ_Lag5,VibrationZ_Lag6,VibrationZ_Lag7,VibrationZ_Lag8,Frequency_Lag1,Frequency_Lag2,Frequency_Lag3,Frequency_Lag4,Frequency_Lag5,Frequency_Lag6,Frequency_Lag7,Frequency_Lag8,Target_Lag1,Target_Lag2,Target_Lag3,Target_Lag4,Target_Lag5,Target_Lag6,Target_Lag7,Target_Lag8,Target_Lag9,Target_Lag10,Preset_1_2,Preset_1_3,Preset_2_2,Preset_2_3,Preset_2_4,Preset_2_5,Preset_2_6,Preset_2_7,Preset_2_8
44.2352,47.6573,46.4418,64.8203,66.4545,44.4832,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,False,True,False,False
60.8072,63.1721,62.006,80.7144,81.2464,60.2287,0,0,,,,,,,,,,,,,,44.2352,,,47.6573,,,,,46.4418,,,,,,,,64.8203,,,,,,,,66.4545,,,,,,,,44.4832,,,,,,,,0.0,,,,,,,,,,True,False,False,False,True,False,False,False,False
79.0275,83.0322,82.6421,98.2544,98.7852,80.9935,0,0,,,,,,,,,,,,,,60.8072,44.2352,,63.1721,47.6573,,,,62.006,46.4418,,,,,,,80.7144,64.8203,,,,,,,81.2464,66.4545,,,,,,,60.2287,44.4832,,,,,,,0.0,0.0,,,,,,,,,True,False,False,False,False,False,False,False,False
79.7162,100.5086,122.3623,121.3634,118.6525,80.3156,0,0,,,,,64.62053333333334,17.731874036416272,,,,,,,,79.0275,60.8072,44.2352,83.0322,63.1721,47.6573,,,82.6421,62.006,46.4418,,,,,,98.2544,80.7144,64.8203,,,,,,98.7852,81.2464,66.4545,,,,,,80.9935,60.2287,44.4832,,,,,,0.0,0.0,0.0,,,,,,,,True,False,False,True,False,False,False,False,False
39.9891,51.7648,42.5143,61.0379,50.7165,64.2452,0,0,,,,,82.23763333333333,18.68092771259858,,,,,17.6171,,,79.7162,79.0275,60.8072,100.5086,83.0322,63.1721,47.6573,,122.3623,82.6421,62.006,46.4418,,,,,121.3634,98.2544,80.7144,64.8203,,,,,118.6525,98.7852,81.2464,66.4545,,,,,80.3156,80.9935,60.2287,44.4832,,,,,0.0,0.0,0.0,0.0,,,,,,,True,False,False,False,False,True,False,False,False
58.3361,64.4264,56.4792,78.6237,65.9115,78.8862,0,0,,,,,78.43520000000001,24.694914787461816,,,66.05324,15.240465725265746,-3.802433333333333,,,39.9891,79.7162,79.0275,51.7648,100.5086,83.0322,63.1721,47.6573,42.5143,122.3623,82.6421,62.006,46.4418,,,,61.0379,121.3634,98.2544,80.7144,64.8203,,,,50.7165,118.6525,98.7852,81.2464,66.4545,,,,64.2452,80.3156,80.9935,60.2287,44.4832,,,,0.0,0.0,0.0,0.0,0.0,,,,,,False,False,True,False,False,False,False,False,False
77.9378,83.1467,77.8006,109.679,86.2307,99.6812,0,0,,,,,72.23326666666667,25.292289041787683,,,72.93384,9.896869922505797,-6.201933333333334,3.3538200000000002,,58.3361,39.9891,79.7162,64.4264,51.7648,100.5086,83.0322,63.1721,56.4792,42.5143,122.3623,82.6421,62.006,46.4418,,,78.6237,61.0379,121.3634,98.2544,80.7144,64.8203,,,65.9115,50.7165,118.6525,98.7852,81.2464,66.4545,,,78.8862,64.2452,80.3156,80.9935,60.2287,44.4832,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,False,False,False,True,False,False,False,False,False
78.5635,130.0899,110.4799,130.997,85.2186,98.4674,1,0,,,,,66.44596666666666,15.788125254232474,70.52972857142858,19.065187921419703,80.82433999999999,12.594570956884551,-5.787300000000002,3.994919999999999,,77.9378,58.3361,39.9891,83.1467,64.4264,51.7648,100.5086,83.0322,77.8006,56.4792,42.5143,122.3623,82.6421,62.006,46.4418,,109.679,78.6237,61.0379,121.3634,98.2544,80.7144,64.8203,,86.2307,65.9115,50.7165,118.6525,98.7852,81.2464,66.4545,,99.6812,78.8862,64.2452,80.3156,80.9935,60.2287,44.4832,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,False,True,False,False,False,False
77.4862,104.463,77.3904,159.4235,115.2119,98.9003,1,0,,,,,92.55433333333333,33.82752550458478,82.30581428571428,26.565707881491928,84.31912,14.871738173192792,26.108366666666665,9.411539999999999,,78.5635,77.9378,58.3361,130.0899,83.1467,64.4264,51.7648,100.5086,110.4799,77.8006,56.4792,42.5143,122.3623,82.6421,62.006,46.4418,130.997,109.679,78.6237,61.0379,121.3634,98.2544,80.7144,64.8203,85.2186,86.2307,65.9115,50.7165,118.6525,98.7852,81.2464,66.4545,98.4674,99.6812,78.8862,64.2452,80.3156,80.9935,60.2287,44.4832,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,True,False,False,False,False,False,True,False
42.6192,48.3433,65.7892,49.5248,64.9151,41.6207,1,0,,,,,105.89986666666665,23.504562236368788,88.20451428571428,26.19064793664771,88.03605999999999,15.9073788550471,13.34553333333333,0.7908799999999985,,77.4862,78.5635,77.9378,104.463,130.0899,83.1467,64.4264,51.7648,77.3904,110.4799,77.8006,56.4792,42.5143,122.3623,82.6421,62.006,159.4235,130.997,109.679,78.6237,61.0379,121.3634,98.2544,80.7144,115.2119,85.2186,86.2307,65.9115,50.7165,118.6525,98.7852,81.2464,98.9003,98.4674,99.6812,78.8862,64.2452,80.3156,80.9935,60.2287,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,False,False,False,False,False,True
